kode_kbli,uraian
13913,Industri Bulu Tiruan Rajutan
13921,Industri Barang Tekstil untuk Keperluan Rumah Tangga
18113,Pencetakan Tiga Dimensi (3D)
18120,Kegiatan Jasa Penunjang Pencetakan
13922,Industri Barang Tekstil dengan Bahan Pengisi
18201,Reproduksi Media Rekaman Suara dan Perangkat Lunak
13923,Industri Karung Goni
13924,Industri Karung Selain Karung Goni
18202,Reproduksi Media Rekaman Film dan Video
19100,Industri Produk Tanur Kokas
13929,Industri Barang Tekstil Bukan Pakaian Jadi Lainnya
19201,Industri Bahan Bakar dari Pemurnian dan Pengilangan
13930,Industri Karpet dan Permadani
13941,Industri Tali
19202,Industri Minyak Pelumas
13942,Industri Barang dari Tali
19203,Industri Produk dari Bahan Limbah Minyak Pelumas
13991,Industri Kain Narrow
19204,Industri Minyak Pelumas Dasar (Bahan Baku Pelumas)
13992,Industri Kain yang Dilapisi dan Sejenisnya
19205,Industri Briket
13993,Industri Kain Nirtenun/Nonwoven
19206,Industri Produk dari Pencampuran Hasil Kilang Minyak
22205,Industri Perlengkapan dan Peralatan Rumah Tangga dari
19209,Industri Produk Lainnya dari Hasil Kilang Minyak Bumi
22206,Industri Barang dan Peralatan Teknik/Industri dari Plastik
20111,"Industri Asam, Basa, dan Garam Anorganik"
22209,Industri Barang Lainnya dari Plastik
20112,Industri Gas Industri
23111,Industri Kaca Lembaran
20113,Industri Kimia Dasar Zat Warna dan Pigmen
23112,Industri Kaca Pengaman
20114,Industri Kimia Dasar Radioaktif
23119,Industri Kaca Lainnya
20115,Industri Kimia Dasar Organik dari Sumber Daya Alam
23121,Industri Perlengkapan dan Peralatan Rumah Tangga dari
20116,"Industri Kimia Dasar dari Minyak Bumi, Gas Alam, dan Batu"
23122,Industri Peralatan Laboratorium dan Kesehatan dari Kaca
23129,Industri Produk Lainnya dari Kaca
20119,Industri Kimia Dasar Anorganik Lainnya
23911,"Industri Bata, Mortar, Semen, dan Sejenisnya yang Tahan"
20121,"Industri Senyawa Nitrogen; Pupuk Nitrogen, Fosfat, dan Api"
23919,Industri Produk Refraktori (Tahan Api) Lainnya
20122,Industri Pupuk Hara Makro Primer Lainnya
23921,Industri Batu Bata dari Tanah Liat atau Keramik
20123,Industri Pupuk Hara Mikro
23922,Industri Genteng dari Tanah Liat atau Keramik
20124,"Industri Pupuk Organik, Pupuk Hayati, dan Media Tanam"
23929,Industri Bahan Bangunan Lainnya dari Tanah Liat atau
20125,Industri Biostimulan Keramik
20131,Industri Damar Buatan (Resin Sintetis) dan Bahan Baku
23931,Industri Perlengkapan Rumah Tangga dari Porselen
23932,Industri Perlengkapan Rumah Tangga dari Tanah Liat atau
20132,Industri Karet Buatan Keramik
20211,Industri Bahan Baku Pemberantas Hama (Bahan Aktif)
23933,Industri Alat Laboratorium dan Alat Listrik atau Teknik dari
20212,Industri Pemberantas Hama (Formulasi) Porselen
20213,Industri Zat Pengatur Tumbuh
23934,Industri Peralatan Sanitasi dari Porselen
20221,Industri Cat
23935,Industri Peralatan Sanitasi dari Tanah Liat atau Keramik
20222,Industri Pernis
23939,Industri Produk Bukan Bahan Bangunan Lainnya dari
20223,Industri Dempul Tanah Liat atau Keramik dan Porselen
20229,Industri Sediaan Pewarna dan Pelapis Lainnya
23941,Industri Semen
20231,Industri Bahan dan Produk Pembersih
23942,Industri Kapur
20232,"Industri Kosmetik untuk Manusia, Cairan Lensa Kontak"
23943,Industri Gips
20233,Industri Kosmetik untuk Hewan
23951,Industri Barang dari Semen
20234,Industri Perekat Gigi
23952,Industri Barang dari Kapur
20235,Industri Parfum Sesuai Pesanan
23953,Industri Barang dari Gips
20291,Industri Perekat/Lem
23954,Industri Barang dari Asbes
20292,Industri Bahan Peledak
23955,"Industri Mortar, Acian, dan Beton Siap Pakai"
20293,Industri Tinta
23961,Industri Barang dari Batu Marmer
20294,Industri Minyak Asiri Hulu
23962,Industri Barang dari Batu Granit
20295,Industri Korek Api
23969,Industri Barang dari Batu Lainnya
20296,Industri Minyak Asiri Rantai Tengah
23991,Industri Produk Abrasif
20297,Industri Biofuel Cair
23992,Industri Batuan Aspal dan Barang dari Aspal atau Material
20298,Industri Cairan Rokok Elektrik Sejenis
20299,Industri Barang Kimia Lainnya YTDL
23993,Industri Produk Hasil Pemurnian Mineral Nonlogam
20301,Industri Serat Filamen dan Strip Buatan
23999,Industri Produk Mineral Nonlogam Lainnya YTDL
20302,Industri Serat Stapel Buatan
24101,Industri Besi dan Baja Dasar
21011,Industri Bahan Baku Farmasi untuk Manusia
24102,Penggilingan Baja
21012,Industri Produk Farmasi untuk Manusia
24103,Industri Pipa dan Sambungan Pipa dari Besi dan Baja
21013,Industri Produk Farmasi untuk Hewan
24201,Industri Logam Dasar Mulia
21014,Industri Bahan Baku Farmasi untuk Hewan
24202,Industri Logam Dasar Bukan Besi Lainnya
21015,"Industri Alat Diagnosis Medis, Perban, Kasa, dan"
24203,Penggilingan Logam Bukan Besi
24204,Ekstrusi Logam Bukan Besi
21021,Industri Bahan Baku Obat Bahan Alam untuk Manusia
24205,Industri Pipa dan Sambungan Pipa dari Logam Bukan Besi
21022,Industri Produk Obat Bahan Alam untuk Manusia dan Baja
21023,Industri Produk Obat Bahan Alam Untuk Hewan
24206,Industri Bahan Bakar Nuklir
21024,Industri Bahan Baku Obat Bahan Alam untuk Hewan
24310,Pengecoran Besi dan Baja
22111,Industri Ban Luar dan Ban Dalam
24320,Pengecoran Logam Bukan Besi dan Baja
22112,Industri Pembentukan Kembali Ban dan Vulkanisasi Ban
25111,Industri Produk Logam Struktural Bukan Aluminium untuk
22121,Industri Karet Asap Konstruksi Ringan
22122,Industri Karet Lembaran dan Crepe Rubber
25112,Industri Produk Logam Struktural Aluminium untuk
